callid,agentid,customerid,pickedup,duration,productsold
0,10,179,0,0,0
1,5,691,1,116,0
2,10,80,1,165,0
3,6,629,1,128,0
4,8,318,1,205,0
5,7,319,1,225,1
6,10,265,1,211,0
7,9,625,0,0,0
8,5,877,0,0,0
9,5,191,1,145,0
10,9,494,0,0,0
11,5,558,0,0,0
12,3,703,1,303,0
13,5,684,1,258,0
14,2,601,1,179,0
15,10,399,0,0,0
16,8,460,0,0,0
17,10,858,1,118,1
18,4,192,0,0,0
19,8,413,1,180,0
20,0,828,1,174,0
21,5,322,1,149,0
22,2,120,1,131,0
23,1,559,1,87,0
24,9,240,1,194,0
25,7,461,1,105,1
26,8,102,1,229,1
27,2,727,1,219,1
28,3,235,1,166,1
29,5,29,1,225,0
30,5,809,1,164,0
31,9,705,0,0,0
32,3,992,1,132,0
33,5,1000,1,206,1
34,8,452,1,155,0
35,6,904,1,151,1
36,2,175,1,256,0
37,5,765,1,180,1
38,9,207,1,54,0
39,4,314,1,289,0
40,1,602,1,163,0
41,4,357,1,162,1
42,0,635,1,148,0
43,0,733,1,182,1
44,5,697,0,0,0
45,2,396,1,267,0
46,6,664,0,0,0
47,10,753,1,135,0
48,8,366,1,182,0
49,7,975,0,0,0
50,3,794,1,184,0
51,6,751,0,0,0
52,9,176,1,266,0
53,5,670,1,227,0
54,0,972,1,198,0
55,8,517,0,0,0
56,9,267,1,130,0
57,10,94,1,151,1
58,7,957,1,204,0
59,4,160,1,107,0
60,3,40,1,220,1
61,6,373,1,137,1
62,8,861,1,104,1
63,5,51,1,166,0
64,10,564,1,289,0
65,7,12,1,259,0
66,6,402,1,249,0
67,4,668,1,175,0
68,8,986,0,0,0
69,3,187,1,219,1
70,10,19,1,121,0
71,1,501,1,124,0
72,8,952,1,243,0
73,10,297,1,136,0
74,2,625,1,300,1
75,10,592,1,163,0
76,3,789,1,173,0
77,8,165,0,0,0
78,5,674,1,159,0
79,7,482,1,239,0
80,4,73,1,205,0
81,6,764,1,119,1
82,6,221,1,200,0
83,9,201,1,257,0
84,0,77,1,101,0
85,4,627,0,0,0
86,2,694,1,203,0
87,6,782,0,0,0
88,2,292,1,176,0
89,1,801,1,175,1
90,0,117,1,114,0
91,8,905,1,263,0
92,8,933,1,142,0
93,5,657,0,0,0
94,3,900,1,103,1
95,10,267,1,209,0
96,1,866,1,145,0
97,1,425,1,126,0
98,4,521,1,186,0
99,10,835,0,0,0
100,-1,585,0,0,0
101,3,901,1,136,1
102,2,197,0,0,0
103,5,694,0,0,0
104,9,670,1,181,0
105,2,681,1,122,0
106,4,446,0,0,0
107,9,541,0,0,0
108,9,315,1,166,0
109,6,386,1,158,0
110,5,512,0,0,0
111,2,67,1,284,0
112,2,824,1,222,0
113,9,830,1,69,0
114,8,172,1,206,1
115,3,153,0,0,0
116,3,291,1,182,1
117,0,218,1,267,0
118,0,781,1,249,0
119,4,577,0,0,0
120,9,770,1,205,0
121,10,171,1,214,0
122,8,746,0,0,0
123,7,90,0,0,0
124,3,77,1,150,0
