countryregioncode,currencycode,modifieddate
AE,AED,2014-02-08 10:17:21.51
AR,ARS,2014-02-08 10:17:21.51
AT,ATS,2014-02-08 10:17:21.51
AT,EUR,2008-04-30 00:00:00
AU,AUD,2014-02-08 10:17:21.51
BB,BBD,2014-02-08 10:17:21.51
BD,BDT,2014-02-08 10:17:21.51
BE,BEF,2014-02-08 10:17:21.51
BE,EUR,2008-04-30 00:00:00
BG,BGN,2014-02-08 10:17:21.51
BH,BHD,2014-02-08 10:17:21.51
BN,BND,2014-02-08 10:17:21.51
BO,BOB,2014-02-08 10:17:21.51
BR,BRL,2014-02-08 10:17:21.51
BS,BSD,2014-02-08 10:17:21.51
BT,BTN,2014-02-08 10:17:21.51
CA,CAD,2014-02-08 10:17:21.51
CH,CHF,2014-02-08 10:17:21.51
CL,CLP,2014-02-08 10:17:21.51
CN,CNY,2014-02-08 10:17:21.51
CO,COP,2014-02-08 10:17:21.51
CR,CRC,2014-02-08 10:17:21.51
CY,CYP,2014-02-08 10:17:21.51
CZ,CZK,2014-02-08 10:17:21.51
DE,DEM,2014-02-08 10:17:21.51
DE,EUR,2014-02-08 10:17:21.51
DK,DKK,2014-02-08 10:17:21.51
DO,DOP,2014-02-08 10:17:21.51
DZ,DZD,2014-02-08 10:17:21.51
EC,USD,2014-02-08 10:17:21.51
EE,EEK,2014-02-08 10:17:21.51
EG,EGP,2014-02-08 10:17:21.51
ES,ESP,2014-02-08 10:17:21.51
ES,EUR,2008-04-30 00:00:00
FI,EUR,2008-04-30 00:00:00
FI,FIM,2014-02-08 10:17:21.51
FJ,FJD,2014-02-08 10:17:21.51
FR,EUR,2014-02-08 10:17:21.51
FR,FRF,2014-02-08 10:17:21.51
GB,GBP,2014-02-08 10:17:21.51
GH,GHC,2014-02-08 10:17:21.51
GR,EUR,2008-04-30 00:00:00
GR,GRD,2014-02-08 10:17:21.51
GT,GTQ,2014-02-08 10:17:21.51
HK,HKD,2014-02-08 10:17:21.51
HR,HRK,2014-02-08 10:17:21.51
HU,HUF,2014-02-08 10:17:21.51
ID,IDR,2014-02-08 10:17:21.51
IE,EUR,2008-04-30 00:00:00
IE,IEP,2014-02-08 10:17:21.51
IL,ILS,2014-02-08 10:17:21.51
IN,INR,2014-02-08 10:17:21.51
IS,ISK,2014-02-08 10:17:21.51
IT,EUR,2008-04-30 00:00:00
IT,ITL,2014-02-08 10:17:21.51
JM,JMD,2014-02-08 10:17:21.51
JO,JOD,2014-02-08 10:17:21.51
JP,JPY,2014-02-08 10:17:21.51
KE,KES,2014-02-08 10:17:21.51
KR,KRW,2014-02-08 10:17:21.51
KW,KWD,2014-02-08 10:17:21.51
LB,LBP,2014-02-08 10:17:21.51
LK,LKR,2014-02-08 10:17:21.51
LT,LTL,2014-02-08 10:17:21.51
LU,EUR,2008-04-30 00:00:00
LV,LVL,2014-02-08 10:17:21.51
MA,MAD,2014-02-08 10:17:21.51
MT,MTL,2014-02-08 10:17:21.51
MU,MUR,2014-02-08 10:17:21.51
MV,MVR,2014-02-08 10:17:21.51
MX,MXN,2014-02-08 10:17:21.51
MY,MYR,2014-02-08 10:17:21.51
NA,NAD,2014-02-08 10:17:21.51
NG,NGN,2014-02-08 10:17:21.51
NL,EUR,2008-04-30 00:00:00
NL,NLG,2014-02-08 10:17:21.51
NO,NOK,2014-02-08 10:17:21.51
NP,NPR,2014-02-08 10:17:21.51
NZ,NZD,2014-02-08 10:17:21.51
OM,OMR,2014-02-08 10:17:21.51
PA,PAB,2014-02-08 10:17:21.51
PE,PEN,2014-02-08 10:17:21.51
PH,PHP,2014-02-08 10:17:21.51
PK,PKR,2014-02-08 10:17:21.51
PL,PLN,2014-02-08 10:17:21.51
PL,PLZ,2014-02-08 10:17:21.51
PT,EUR,2008-04-30 00:00:00
PT,PTE,2014-02-08 10:17:21.51
PY,PYG,2014-02-08 10:17:21.51
RO,ROL,2014-02-08 10:17:21.51
RU,RUB,2014-02-08 10:17:21.51
RU,RUR,2014-02-08 10:17:21.51
SA,SAR,2014-02-08 10:17:21.51
SE,SEK,2014-02-08 10:17:21.51
SG,SGD,2014-02-08 10:17:21.51
SI,SIT,2014-02-08 10:17:21.51
SK,SKK,2014-02-08 10:17:21.51
SV,SVC,2014-02-08 10:17:21.51
TH,THB,2014-02-08 10:17:21.51
TN,TND,2014-02-08 10:17:21.51
TR,TRL,2014-02-08 10:17:21.51
TT,TTD,2014-02-08 10:17:21.51
TW,TWD,2014-02-08 10:17:21.51
US,USD,2014-02-08 10:17:21.51
UY,UYU,2014-02-08 10:17:21.51
VE,VEB,2014-02-08 10:17:21.51
VN,VND,2014-02-08 10:17:21.51
ZA,ZAR,2014-02-08 10:17:21.51
ZW,ZWD,2014-02-08 10:17:21.51
