productid,name,productnumber,makeflag,finishedgoodsflag,color,safetystocklevel,reorderpoint,standardcost,listprice,size,sizeunitmeasurecode,weightunitmeasurecode,weight,daystomanufacture,productline,class,style,productsubcategoryid,productmodelid,sellstartdate,sellenddate,discontinueddate,rowguid,modifieddate
1,Adjustable Race,AR-5381,f,f,,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,694215b7-08f7-4c0d-acb1-d734ba44c0c8,2014-02-08 10:01:36.827
2,Bearing Ball,BA-8327,f,f,,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,58ae3c20-4f3a-4749-a7d4-d568806cc537,2014-02-08 10:01:36.827
3,BB Ball Bearing,BE-2349,t,f,,800,600,0,0,,,,,1,,,,,,2008-04-30 00:00:00,,,9c21aed2-5bfa-4f18-bcb8-f11638dc2e4e,2014-02-08 10:01:36.827
4,Headset Ball Bearings,BE-2908,f,f,,800,600,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,ecfed6cb-51ff-49b5-b06c-7d8ac834db8b,2014-02-08 10:01:36.827
316,Blade,BL-2036,t,f,,800,600,0,0,,,,,1,,,,,,2008-04-30 00:00:00,,,e73e9750-603b-4131-89f5-3dd15ed5ff80,2014-02-08 10:01:36.827
317,LL Crankarm,CA-5965,f,f,Black,500,375,0,0,,,,,0,,L ,,,,2008-04-30 00:00:00,,,3c9d10b7-a6b2-4774-9963-c19dcee72fea,2014-02-08 10:01:36.827
318,ML Crankarm,CA-6738,f,f,Black,500,375,0,0,,,,,0,,M ,,,,2008-04-30 00:00:00,,,eabb9a92-fa07-4eab-8955-f0517b4a4ca7,2014-02-08 10:01:36.827
319,HL Crankarm,CA-7457,f,f,Black,500,375,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,7d3fd384-4f29-484b-86fa-4206e276fe58,2014-02-08 10:01:36.827
320,Chainring Bolts,CB-2903,f,f,Silver,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,7be38e48-b7d6-4486-888e-f53c26735101,2014-02-08 10:01:36.827
321,Chainring Nut,CN-6137,f,f,Silver,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,3314b1d7-ef69-4431-b6dd-dc75268bd5df,2014-02-08 10:01:36.827
322,Chainring,CR-7833,f,f,Black,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,f0ac2c4d-1a1f-4e3c-b4d9-68aea0ec1ce4,2014-02-08 10:01:36.827
323,Crown Race,CR-9981,f,f,,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,51a32ca6-65a1-4c31-af2b-d9e4f5d631d4,2014-02-08 10:01:36.827
324,Chain Stays,CS-2812,t,f,,1000,750,0,0,,,,,1,,,,,,2008-04-30 00:00:00,,,fe0678ed-aef2-4c58-a450-8151cc24ddd8,2014-02-08 10:01:36.827
325,Decal 1,DC-8732,f,f,,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,05ce123c-a402-478e-ae9b-75d7727aeaad,2014-02-08 10:01:36.827
326,Decal 2,DC-9824,f,f,,1000,750,0,0,,,,,0,,,,,,2008-04-30 00:00:00,,,a56851f9-1cd7-4e2f-8779-2e773e1b5209,2014-02-08 10:01:36.827
327,Down Tube,DT-2377,t,f,,800,600,0,0,,,,,1,,,,,,2008-04-30 00:00:00,,,1dad47dd-e259-42b8-b8b4-15a0b7d21b2f,2014-02-08 10:01:36.827
328,Mountain End Caps,EC-M092,t,f,,1000,750,0,0,,,,,1,,,,,,2008-04-30 00:00:00,,,6070b1ea-59b7-4f8b-950f-2be07d00449d,2014-02-08 10:01:36.827
