productdescriptionid,description,rowguid,modifieddate
3,Chromoly steel.,301eed3a-1a82-4855-99cb-2afe8290d641,2013-04-30 00:00:00
4,Aluminum alloy cups; large diameter spindle.,dfeba528-da11-4650-9d86-cafda7294eb0,2013-04-30 00:00:00
5,Aluminum alloy cups and a hollow axle.,f7178da7-1a7e-4997-8470-06737181305e,2013-04-30 00:00:00
8,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",8e6746e5-ad97-46e2-bd24-fcea075c3b52,2013-04-30 00:00:00
64,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",7b1c4e90-85e2-4792-b47b-e0c424e2ec94,2013-04-30 00:00:00
88,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,4c1ad253-357e-4a98-b02e-02180aa406f6,2013-04-30 00:00:00
128,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,130709e6-8512-49b9-9f62-1f5c99152056,2014-02-08 10:32:17.973
168,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",db979da6-4cc8-4171-9ecf-65003ff8178a,2013-04-30 00:00:00
170,Suitable for any type of off-road trip. Fits any budget.,ea772412-6369-4416-9cc9-c1a5d1ff9c52,2013-04-30 00:00:00
209,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,f5ff5ffd-cb7c-4ad6-bbc9-4d250bb6e98d,2013-04-30 00:00:00
249,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",4291f144-7693-4460-8b0b-1373e0433021,2013-04-30 00:00:00
320,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",e130ded9-d0ec-4656-bf4d-1a3a46491891,2013-04-30 00:00:00
321,Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.,c7b429da-dc51-47db-a18e-5891e76ccc16,2013-04-30 00:00:00
337,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",db560f0b-e70b-42a7-a1f5-3b7e42d3679d,2013-04-30 00:00:00
375,"Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day.",747b2185-0320-4fe5-8e8f-27b84a40a838,2013-04-30 00:00:00
376,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",f1d9955b-bc1c-4d34-be8b-cdee33e77087,2013-04-30 00:00:00
409,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",3dc76714-7572-4547-9d79-abb708950b2c,2013-04-30 00:00:00
457,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",3ddb8dea-fc37-4e44-8c1d-0bf7c6a723e3,2013-04-30 00:00:00
513,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",741eae59-5e59-4dbc-9086-2633392c2582,2013-04-30 00:00:00
554,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",ddc955b2-843e-49ce-8f7b-54870f6135eb,2013-04-30 00:00:00
594,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,32b82c92-e545-4da0-a175-0be710b482fe,2013-04-30 00:00:00
613,Superior shifting performance.,9c7d8618-a3c3-4c0f-8c72-2e10124e88ca,2013-04-30 00:00:00
618,Super rigid spindle.,e15ffa7e-bde8-4de1-8e81-f197a56e0c9d,2013-04-30 00:00:00
619,High-strength crank arm.,b62b08ac-a6da-43bc-950f-2de2eb5720eb,2013-04-30 00:00:00
620,Triple crankset; alumunim crank arm; flawless shifting.,e944d225-c6a7-4fa6-a31f-b6ce95e53203,2013-04-30 00:00:00
627,All-weather brake pads; provides superior stopping by applying more surface to the rim.,ebf2f0a4-89f2-4d31-be48-d8fd278f3024,2013-04-30 00:00:00
630,Wide-link design.,28c4682c-38b2-4b61-a2ae-bcac7c7ce29b,2013-04-30 00:00:00
633,Stout design absorbs shock and offers more precise steering.,27cccdbf-7e02-4328-9c05-e406bd2e5a60,2013-04-30 00:00:00
634,Composite road fork with an aluminum steerer tube.,53ee20f0-1de9-44c2-8a5d-4cfa349f1a07,2013-04-30 00:00:00
635,High-performance carbon road fork with curved legs.,c2399002-e273-409b-8164-42f6e6bfcc6c,2013-04-30 00:00:00
637,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",f49ee591-b110-4cf5-bc17-62bb838dc58a,2013-04-30 00:00:00
642,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,35fbeefd-10e6-4420-b0ae-051b57feff36,2013-04-30 00:00:00
644,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,e4b9f9b5-7428-4b34-b8ea-3fb6ee4bc4f8,2013-04-30 00:00:00
647,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,7ad9e29f-16cf-4db0-b073-cc62d501b61a,2013-04-30 00:00:00
661,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",d61c9d54-22c3-4563-a418-0b9dc7e03850,2013-04-30 00:00:00
686,Replacement mountain wheel for entry-level rider.,7dcc4b3a-7e9a-4eec-aaee-0e841cdbbebc,2013-04-30 00:00:00
687,Replacement mountain wheel for the casual to serious rider.,fd18e90e-527a-4e12-9f52-6c07ac6ec3e8,2013-04-30 00:00:00
