territoryid,name,countryregioncode,group,salesytd,saleslastyear,costytd,costlastyear,rowguid,modifieddate
1,Northwest,US,North America,7887186.7882,3298694.4938,0,0,43689a10-e30b-497f-b0de-11de20267ff7,2008-04-30 00:00:00
2,Northeast,US,North America,2402176.8476,3607148.9371,0,0,00fb7309-96cc-49e2-8363-0a1ba72486f2,2008-04-30 00:00:00
3,Central,US,North America,3072175.118,3205014.0767,0,0,df6e7fd8-1a8d-468c-b103-ed8addb452c1,2008-04-30 00:00:00
4,Southwest,US,North America,10510853.8739,5366575.7098,0,0,dc3e9ea0-7950-4431-9428-99dbcbc33865,2008-04-30 00:00:00
5,Southeast,US,North America,2538667.2515,3925071.4318,0,0,6dc4165a-5e4c-42d2-809d-4344e0ac75e7,2008-04-30 00:00:00
6,Canada,CA,North America,6771829.1376,5693988.86,0,0,06b4af8a-1639-476e-9266-110461d66b00,2008-04-30 00:00:00
7,France,FR,Europe,4772398.3078,2396539.7601,0,0,bf806804-9b4c-4b07-9d19-706f2e689552,2008-04-30 00:00:00
8,Germany,DE,Europe,3805202.3478,1307949.7917,0,0,6d2450db-8159-414f-a917-e73ee91c38a9,2008-04-30 00:00:00
9,Australia,AU,Pacific,5977814.9154,2278548.9776,0,0,602e612e-dfe9-41d9-b894-27e489747885,2008-04-30 00:00:00
10,United Kingdom,GB,Europe,5012905.3656,1635823.3967,0,0,05fc7e1f-2dea-414e-9ecd-09d150516fb5,2008-04-30 00:00:00
